sample_id,label_encoded,label_name
11806,8,2
11460,5,1
13031,11,5
440,8,2
10076,10,4
6703,11,5
7021,0,0
6682,5,1
9052,11,5
272,8,2
10137,8,2
792,9,3
15943,5,1
8618,8,2
47,8,2
9587,7,1_5
3676,11,5
2860,10,4
5703,11,5
10458,9,3
12786,11,5
15090,5,1
14779,10,4
2430,5,1
8718,10,4
1992,7,1_5
11848,11,5
9493,9,3
9338,11,5
6156,7,1_5
7710,5,1
14365,9,3
9961,10,4
15739,11,5
9394,5,1
11607,11,5
380,1,0_1
14608,10,4
14507,8,2
1332,0,0
12156,8,2
10170,9,3
15129,10,4
6434,11,5
7779,11,5
789,10,4
13357,8,2
7508,8,2
5712,11,5
5380,8,2
6533,8,2
475,5,1
15549,10,4
9326,10,4
1490,10,4
4328,10,4
13791,8,2
14946,11,5
14185,4,0_4
14599,5,1
12719,11,5
9,11,5
9476,8,2
10438,8,2
13705,11,5
6838,8,2
2977,1,0_1
6107,11,5
4017,8,2
494,9,3
8500,10,4
3567,8,2
447,11,5
7682,8,2
9308,11,5
12403,5,1
3219,8,2
11994,8,2
473,8,2
15455,8,2
7446,8,2
6213,0,0
10934,9,3
11909,0,0
638,5,1
14951,11,5
2260,8,2
6821,8,2
5851,10,4
4809,8,2
695,11,5
6615,7,1_5
13325,5,1
10147,9,3
6699,9,3
12057,10,4
14526,11,5
11254,11,5
8134,11,5
7604,11,5
14141,11,5
11290,0,0
7796,0,0
10357,11,5
15723,7,1_5
10589,4,0_4
4176,5,1
15542,11,5
5953,11,5
15271,5,1
5074,10,4
10174,5,1
765,7,1_5
3753,5,1
7002,8,2
15132,8,2
2972,11,5
3762,5,1
2744,5,1
15373,0,0
14510,11,5
7058,5,1
12878,8,2
11406,8,2
16443,11,5
9549,8,2
9641,5,1
15186,5,1
5952,7,1_5
15159,9,3
1950,11,5
2090,11,5
12859,8,2
1954,8,2
2246,9,3
12628,11,5
5708,8,2
456,10,4
7179,8,2
15962,8,2
11237,8,2
9188,11,5
5065,7,1_5
15116,11,5
12996,11,5
16580,11,5
9011,11,5
3811,11,5
1787,9,3
1252,5,1
16635,11,5
11892,11,5
14150,0,0
1782,8,2
4985,11,5
1855,11,5
399,8,2
14698,8,2
15078,8,2
5209,10,4
5195,11,5
6187,8,2
6651,8,2
1828,0,0
8133,7,1_5
11770,11,5
8680,11,5
207,0,0
12247,5,1
10668,5,1
8074,11,5
3770,11,5
4824,11,5
10914,11,5
2646,8,2
3960,10,4
10911,5,1
2226,11,5
9900,11,5
5027,11,5
14849,5,1
11642,11,5
11979,5,1
6060,9,3
3125,8,2
12476,8,2
11111,9,3
13337,11,5
15311,9,3
10645,5,1
11894,9,3
15072,6,1_4
1450,0,0
5312,11,5
183,8,2
10292,10,4
12419,11,5
12570,11,5
1205,10,4
14242,11,5
2592,8,2
6893,5,1
12787,7,1_5
16278,11,5
855,0,0
13786,5,1
12279,8,2
5591,11,5
7816,5,1
4068,8,2
4795,11,5
2047,5,1
1807,8,2
15175,7,1_5
14719,11,5
15906,11,5
4680,11,5
12813,0,0
11942,8,2
10651,11,5
11529,5,1
5828,7,1_5
12933,0,0
4465,10,4
14689,5,1
15274,0,0
16357,8,2
3560,8,2
376,11,5
6092,9,3
15231,7,1_5
11943,0,0
15734,10,4
2311,11,5
1238,5,1
7600,8,2
15540,8,2
6370,8,2
7869,7,1_5
13242,5,1
2020,10,4
2263,11,5
7350,9,3
5443,5,1
11382,0,0
14604,9,3
4372,1,0_1
10086,10,4
1612,5,1
12017,8,2
15797,5,1
12035,8,2
5300,11,5
5003,8,2
4956,8,2
721,11,5
758,10,4
16177,9,3
7182,11,5
12084,8,2
10873,11,5
6074,11,5
4702,8,2
951,5,1
