sample_id,multihot_labels,readable_name
8641,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
15803,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
13150,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
10362,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
465,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
4123,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
8910,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
10708,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
15010,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
113,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
5098,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",scab_and_powdery_mildew
16252,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
2615,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
2091,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
1027,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",scab_and_powdery_mildew
3739,"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",healthy_and_scab_and_powdery_mildew
35,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
15022,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
7695,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
12655,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
7087,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
7337,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
5556,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2531,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
6863,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
8694,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
7233,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2019,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
4338,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
16299,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
868,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
7923,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
15,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",healthy_and_complex
11146,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
9002,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
15617,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
14773,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
1945,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
9931,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
13898,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
10943,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
10936,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
9724,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
7663,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
2570,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
13173,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
7916,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
8466,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
4441,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
14246,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
9060,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
10120,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",healthy_and_scab
14699,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
15897,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
14754,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
8280,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
16576,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
12843,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
3283,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
8166,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
